artists,duration_ms,explicit,id,name,release_date,search_query
"2 Chainz, Travis Scott",255560.0,True,1nX9KhK3Fff27SnrIor2Yb,4 AM,2017-06-16,2 chainz 4 am
"2 Chainz, Ty Dolla $ign, Trey Songz, Jhene Aiko",210200.0,True,6H0AwSQ20mo62jGlPGB8S6,It's A Vibe,2017-06-16,2 chainz it's a vibe
"2 Chainz, YG, Offset",234666.0,True,365wwIjijQdlRJEjUWTidq,PROUD,2018-02-08,2 chainz proud
"2 Chainz, Drake, Quavo",225893.0,True,5S1IUPueD0xE0vj4zU3nSf,Bigger Than You (feat. Drake & Quavo),2018-06-15,"2 chainz, drake bigger > you"
21 Savage,220306.0,True,2fQrGHiQOvpL9UgPvtYy6G,Bank Account,2017-09-23,21 savage bank account
21 Savage,234280.0,True,6g0TAJ1grweRwBMLQyiZFb,Famous,2017-09-23,21 savage famous
"21 Savage, Metro Boomin",235040.0,True,4gmmRb6bZJffOOiww1JGTO,No Heart,2016-07-15,21 savage no heart
"21 Savage, Metro Boomin, Future",258880.0,True,6fwdbPMwP1zVStm8FybmkO,X (feat. Future),2016-07-15,21 savage x
"21 Savage, Offset, Metro Boomin, Travis Scott",268933.0,True,5u6vkDnOyaf8LsteDAj2ub,Ghostface Killers,2017-10-30,"21 savage, offset ghostface killers"
"21 Savage, Offset, Metro Boomin",202666.0,True,6HR1z11h0ROUlWP4Kx8Z7G,Mad Stalkers,2017-10-30,"21 savage, offset mad stalkers"
"21 Savage, Offset, Metro Boomin, Quavo",257600.0,True,0tdCy39PgWN8LFWu34ORn3,Rap Saved Me,2017-10-30,"21 savage, offset rap saved me"
5 Seconds of Summer,173081.0,True,2vHfabj6nFebekTYODqntl,Want You Back,2018-06-15,5 seconds of summer want you back
5 Seconds of Summer,203417.0,False,2iUXsYOEPhVqEBwsqP70rE,Youngblood,2018-06-15,5 seconds of summer youngblood
6LACK,246773.0,True,4AtZRwSR8BOTTQg5ihSggt,PRBLMS,2016-11-18,6lack prblms
6ix9ine,112666.0,True,5KhFaq45chTw8RGfWo8T8J,BILLY,2018-04-10,6ix9ine billy
6ix9ine,166851.0,True,27oFpFktCq9JIXjJQRuv7a,GOTTI,2018-04-10,6ix9ine gotti
6ix9ine,157643.0,True,4HbiCvH1R7mVOJ7KY7JQBD,GUMMO,2018-04-10,6ix9ine gummo
6ix9ine,142582.0,True,0tYHqwTW4s6VuPWDSD7n7K,KOODA,2018-04-10,6ix9ine kooda
"6ix9ine, Tory Lanez, Young Thug",138473.0,True,3p6JF5nt0bZOSgZRONNZp0,RONDO,2018-04-10,6ix9ine rondo
"6ix9ine, DJ SpinKing",154565.0,True,6wJrqTE6c4NtfDqAcSRcBf,TATI (feat. DJ SpinKing),2018-11-27,6ix9ine tati
"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",151914.0,True,14PlDNjNh3pXyHXzkhX8n5,KEKE,2018-04-10,"6ix9ine, fetty wap keke"
"A Boogie Wit da Hoodie, PnB Rock, YoungBoy Never Broke Again",258158.0,True,1AH60dMaEfNjzDoUIFwIQi,Beast Mode (feat. PnB Rock & YoungBoy Never Broke Again),2017-09-29,a boogie wit da hoodie beast mode
"A Boogie Wit da Hoodie, Kodak Black",209269.0,True,1f5cbQtDrykjarZVrShaDI,Drowning (feat. Kodak Black),2017-09-29,a boogie wit da hoodie drowning
A Boogie Wit da Hoodie,197666.0,True,2BJpuAoDeQ1QuPvnryfAWK,No Promises,2017-09-29,a boogie wit da hoodie no promises
A Boogie Wit da Hoodie,214853.0,True,3AMnOVxEHUgVrythGgqPhI,Say A',2017-09-29,a boogie wit da hoodie say a'
"A Boogie Wit da Hoodie, 21 Savage",174012.0,True,2vaMWMPMgsWX4fwJiKmdWm,Undefeated (feat. 21 Savage),2017-09-29,a boogie wit da hoodie undefeated
A$AP Ferg,173600.0,True,4dVpf9jZjcORqGTLUaeYj9,Plain Jane,2017-08-18,a$ap ferg plain jane
"A$AP Rocky, Moby",233061.0,True,1YmF9PvLhIISIANoMLIYGq,A$AP Forever,2018-04-05,a$ap rocky a$ap forever
"A$AP Rocky, Skepta",205040.0,True,7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine) (feat. Skepta),2018-05-25,a$ap rocky praise the lord (da shine)
AJR,202193.0,False,45iMRHmfLZu3yjdZ8P5e3t,Weak,2016-09-16,ajr weak
Addison Agen,210985.0,False,54p39OJ544KF6iFeCzbVjs,Tennessee Rain - The Voice Performance,2017-12-20,addison agen tennessee rain
Adele,240426.0,False,4vb4mFvYsr2h6enhjJsq9Y,Water Under the Bridge,2016-06-24,adele water under the bridge
Alessia Cara,227693.0,False,4WzhjxvLP95y7AMDy0Atwb,Out Of Love,2018-11-30,alessia cara growing pains
Alessia Cara,175506.0,False,1ehPJRt49h6N0LoryqKZXq,How Far I'll Go - Alessia Cara Version,2016-11-18,alessia cara how far i'll go
Alessia Cara,230226.0,False,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,2015-11-13,alessia cara scars to your beautiful
Alice Merton,235813.0,False,4CdfFYzaAJ0y0beKzmgJSn,No Roots,2017-08-04,alice merton no roots
Aminé,209640.0,True,5hTpBe8h35rJ67eAWHQsJx,Caroline,2017-07-28,amine caroline
Andy Grammer,198001.0,False,5NDUXbMwcnTQp66tI2zcdR,Fresh Eyes,2017-12-01,andy grammer fresh eyes
Andy Williams,151933.0,False,5hslUAKq9I9CG2bAulFkHN,It's the Most Wonderful Time of the Year,1963,andy williams it's the most wonderful time of the year
"Ariana Grande, John Legend",227933.0,False,5mRNFh0zp9qY1kDpecN9ot,Beauty and the Beast,2017-03-10,ariana grande beauty and the beast
"Ariana Grande, Future",194840.0,True,6yL2kTsdVwYnGwPkKGtMd5,Everyday,2016-05-20,ariana grande everyday
Ariana Grande,205920.0,False,2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,2018-08-17,ariana grande no tears left to cry
"Ariana Grande, Nicki Minaj",226160.0,True,1pKeFVVUOPjFsOABub0OaV,Side To Side,2016-05-20,ariana grande side to side
"Ariana Grande, Nicki Minaj",228373.0,True,0sdbFOyfgAhAhWq8DpzkaW,the light is coming (feat. Nicki Minaj),2018-08-17,ariana grande the light is coming
Auli'i Cravalho,163386.0,False,6mb6lVLNrcUgLnEN8QnDJd,How Far I'll Go,2016-11-18,auli'i cravalho how far i'll go
Avicii,247426.0,False,4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,2013-01-01,avicii wake me up!
Ayo & Teo,238586.0,False,0pSBuHjILhNEo55xK1zrRt,Rolex,2017-03-15,ayo rolex
BLACKPINK,209355.0,False,2aI2k39nfa3KFsa4JclQzw,DDU-DU DDU-DU,2018-06-15,blackpink ddu-du ddu-du
BTS,223122.0,False,5SE57ljOIUJ1ybL9U6CuBH,DNA,2017-09-18,bts dna
BTS,242333.0,False,3aW0ds4A4tSQDIp75FqWTo,FAKE LOVE,2018-05-18,bts fake love
"BTS, Steve Aoki",307675.0,False,75scDPqGs75FotglJSoOI2,MIC Drop (Steve Aoki Remix) [Full Length Edition],2018-08-24,bts mic drop
Backstreet Boys,215724.0,False,79Mjfhh393dZdAsTvUFDR6,Don't Go Breaking My Heart,2018-05-17,backstreet boys don't go breaking my heart
Bad Wolves,254805.0,False,1vNoA9F5ASnlBISFekDmg3,Zombie,2018-01-19,bad wolves zombie
Bazzi,131064.0,True,7uzmGiiJyRfuViKKK3lVmR,Mine,2018-04-12,bazzi mine
Bebe Rexha,191786.0,False,2jB9QaPJyVdz2Q0Va8rrnU,I Got You,2018-06-22,bebe rexha i got you
"Bebe Rexha, Florida Georgia Line",163870.0,False,7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),2017-08-11,bebe rexha meant to be
"Becky G, Bad Bunny",202453.0,False,7JNh1cfm0eXjqFVOzKLyau,Mayores,2017-07-14,becky g mayores
"Bhad Bhabie, Lil Yachty",151850.0,True,3hv6ndi7uFT9L9wrhQCsqY,Gucci Flip Flops (feat. Lil Yachty),2018-09-18,bhad bhabie gucci flip flops
Bhad Bhabie,104528.0,True,5JW8njiQorZ7m2VHYddTt6,Hi Bich,2017-09-21,bhad bhabie hi bich
Bhad Bhabie,140007.0,True,6SUxrwVN19Kmd9JfIbjJUj,These Heaux,2017-08-24,bhad bhabie these heaux
Big Sean,222360.0,True,0SGkqnVQo9KPytSri1H6cF,Bounce Back,2017-02-03,big sean bounce back
"Big Sean, Metro Boomin, Travis Scott",268946.0,True,3wAI7MIQtTgwcRmwchPZBc,Go Legend (& Metro Boomin),2017-12-08,big sean go legend
Big Sean,230960.0,True,4atJ40xfasjdM9ZF3p07BV,Halfway Off The Balcony,2017-02-03,big sean halfway off the balcony
Big Sean,213693.0,True,1jQsKN68yE94tMYml0wHMd,Jump Out The Window,2017-02-03,big sean jump out the window
"Big Sean, Jeremih",210506.0,True,0URaKGzNTtzKRtsJN1RkA9,Light,2017-02-03,big sean light
Big Sean,142906.0,True,0Fv5N0cHBsl4bzCbollCAS,Moves,2017-02-03,big sean moves
"Big Sean, Eminem",325840.0,True,1MksGqIztTT6M9R1ErKVs8,No Favors,2017-02-03,big sean no favors
Big Sean,271693.0,True,1u0MOgWF1bbylVxpJG2ZjB,Owe Me,2017-02-03,big sean owe me
"Big Sean, Metro Boomin, 21 Savage",227533.0,True,7DuvVy7JfFgXwWlVzyyPys,Pull Up N Wreck (& Metro Boomin),2017-12-08,big sean pull up n wreck
"Big Sean, Migos",287320.0,True,1r0faljjM2b876iNoaDUh5,Sacrifices,2017-02-03,big sean sacrifices
"Billie Eilish, Khalid",200185.0,False,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),2018-04-19,billie eilish lovely
Billy Currington,234306.0,False,3I7krC8kr0gFR7P6vInR1I,Do I Make You Wanna,2015-06-02,billy currington do i make you wanna
Blac Youngsta,160037.0,True,0FbSpY8RPxTRxi1Fpj9Dz9,Booty,2018-02-27,blac youngsta booty
blackbear,212027.0,True,3Q3myFA7q4Op95DOpHplaY,do re mi,2017-04-21,blackbear do re mi
Blake Shelton,189466.0,False,5sjIhQzNljMVrDklI91ezp,A Guy With a Girl,2016-05-20,blake shelton a guy with a girl
Blake Shelton,214800.0,False,0c4ICGb0jvszKj3KPR59JU,Every Time I Hear That Song,2016-05-20,blake shelton every time i hear that song
Blake Shelton,219600.0,False,5slddJ629YcePvqD6Uyk8r,I Lived It,2017-11-03,blake shelton i lived it
Blake Shelton,183640.0,False,609qKv3KPAbdtp0LQH2buA,I'll Name the Dogs,2017-11-03,blake shelton i'll name the dogs
"BlocBoy JB, Drake",181263.0,True,4qKcDkK6siZ7Jp1Jb4m0aL,Look Alive (feat. Drake),2018-02-09,blocboy jb look alive
Bobby Helms,131733.0,False,6xE98wKYt4vZk8j7cctjw8,Jingle Bell Rock,1998-01-01,bobby helms jingle bell rock
Brad Paisley,229338.0,False,1IO13V09b01gLSbmZJZ9dM,Today,2017-04-21,brad paisley today
Brantley Gilbert,187760.0,False,48tAdjG4ng2JfECa7OQujk,The Weekend,2017-01-27,brantley gilbert the weekend
Brenda Lee,126266.0,False,2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,1964-10-19,brenda lee rockin' around the christmas tree
Brett Eldredge,208720.0,False,5vuMtXS5kQ7F0o9V9rG1dG,The Long Way,2017-08-04,brett eldredge the long way
Brett Young,224853.0,False,10M2Ex445zw585Ducldzkw,In Case You Didn't Know,2017-02-10,brett young in case you didn't know
Brett Young,207186.0,False,3T6MAweakkNrMYs8jZIWtg,Like I Loved You,2017-02-10,brett young like i loved you
Brett Young,217120.0,False,2VIPU72L6tIR4w8J8ap6Kp,Mercy,2017-02-10,brett young mercy
Brothers Osborne,216800.0,False,08wJ1B9yu9sPeoRa5fbpr3,It Ain't My Fault,2016-01-15,brothers osborne it ain't my fault
Bruno Mars,206693.0,False,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,2016-11-17,bruno mars 24k magic
"Bruno Mars, Cardi B",217288.0,False,3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,2017-12-20,bruno mars finesse
Bruno Mars,206693.0,False,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,2016-11-17,bruno mars that's what i like
Bruno Mars,261240.0,False,0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,2016-11-17,bruno mars versace on the floor
Bryson Tiller,209040.0,True,0OVhQZkNe7lh0fQeH96EFW,Don't Get Too High,2017-05-26,bryson tiller don't get too high
Bryson Tiller,134746.0,True,4IdAIZRVkwuQQnHpi529cn,No Longer Friends,2017-05-26,bryson tiller no longer friends
Bryson Tiller,169266.0,True,5GG3knKdxKWrNboRijxeKF,Run Me Dry,2017-05-26,bryson tiller run me dry
Bryson Tiller,167853.0,True,2rUwQj4SWaP2anuGDtNpYR,Self-Made,2017-05-26,bryson tiller self-made
Bryson Tiller,194266.0,True,3Jrs7cC2OJNlNSy9VnDOMZ,Somethin Tells Me,2017-05-26,bryson tiller somethin tells me
Burl Ives,135533.0,False,65Q2mv3UlVi9eO70OpsmSe,A Holly Jolly Christmas - Single Version,1965-01-01,burl ives a holly jolly christmas
Calum Scott,260285.0,False,2BOqDYLOJBiMOXShCV1neZ,Dancing On My Own,2018-03-09,calum scott dancing on my own
"Calvin Harris, Kehlani, Lil Yachty",240093.0,True,0pJPdSVti6cTM1Q6xYGmcf,Faking It (feat. Kehlani & Lil Yachty),2017-06-30,calvin harris faking it
"Calvin Harris, Pharrell Williams, Katy Perry, Big Sean",223413.0,True,5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",2017-06-30,calvin harris feels
"Calvin Harris, Young Thug, Pharrell Williams, Ariana Grande",229160.0,True,60APt5N2NRaKWf5xzJdzyC,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",2017-06-30,calvin harris heatstroke
"Calvin Harris, Dua Lipa",214846.0,False,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),2018-04-06,calvin harris one kiss
"Calvin Harris, Future, Khalid",272666.0,True,3FDrI0FLKzrYQiWxPhqV2W,Rollin,2017-05-12,calvin harris rollin
"Calvin Harris, Frank Ocean, Migos",230813.0,True,6gpcs5eMhJwax4mIfKDYQk,Slide (feat. Frank Ocean & Migos),2017-02-24,calvin harris slide
Camila Cabello,216391.0,False,1SJtlNRJDeYHioymcvsqev,Crying in the Club,2017-05-18,camila cabello crying in the club
"Camila Cabello, Young Thug",217306.0,False,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),2018-01-12,camila cabello havana
Camila Cabello,226973.0,False,4eWQlBRaTjPPUlzacqEeoQ,Never Be the Same,2018-01-12,camila cabello never be the same
"Camila Cabello, Quavo",228893.0,False,4xBjsLUSjcx2h7PcRikpQp,OMG,2017-08-03,camila cabello omg
"Cardi B, 21 Savage",224284.0,True,0dIoGTQXDh1wVnhIiSyYEa,Bartier Cardi (feat. 21 Savage),2018-04-06,cardi b bartier cardi
Cardi B,210787.0,True,2Yl4OmDby9iitgNWZPwxkd,Be Careful,2018-04-06,cardi b be careful
"Cardi B, Chance the Rapper",284855.0,True,00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),2018-04-06,cardi b best life
Cardi B,181623.0,True,17Yq72h0p15OhCbZ5lJ5gd,Bickenhead,2018-04-06,cardi b bickenhead
2017 Dynamo Hitz,220395.0,False,3g2qgbWPl8TcgJIkstWpSV,Bodak Yellow (Money Moves),2017-09-13,cardi b bodak yellow (money moves)
"Cardi B, Migos",262308.0,True,2qcG0nZ6S3zZV0UrkY5nFo,Drip (feat. Migos),2018-04-06,cardi b drip
Cardi B,231453.0,True,7p2ewixAShLpjDZrnzZK7c,Get Up 10,2018-04-06,cardi b get up 10
"Cardi B, SZA",200205.0,True,1f5PNhkNgUpvDEeZfcIlO1,I Do (feat. SZA),2018-04-06,cardi b i do
Cardi B,229004.0,True,1vBeIXlzbAieGoDqInav5j,Money Bag,2018-04-06,cardi b money bag
"Cardi B, Kehlani",177139.0,True,5DfWF0jqMgZDCiu9zJENTA,Ring (feat. Kehlani),2018-04-06,cardi b ring
"Cardi B, YG",230952.0,True,0CfmNX2TXk7yoJqHJiixnp,She Bad,2018-04-06,cardi b she bad
Cardi B,188523.0,True,74cVJfmK18rhWnscIpGXjt,Thru Your Phone,2018-04-06,cardi b thru your phone
"Cardi B, Bad Bunny, J Balvin",253390.0,True,58q2HKrzhC3ozto2nDdN4z,I Like It,2018-04-06,"cardi b, bad bunny i like it"
Carly Pearce,197826.0,False,2EXCLMhZF0XqmdCsSMYwt3,If My Name Was Whiskey,2017-10-13,carly pearce every little thing
Carrie Underwood,246466.0,False,47gqRMoIkFm7Rac86xZVh7,Cry Pretty,2018-04-11,carrie underwood cry pretty
Carrie Underwood,204093.0,False,5qRRiqndqXaq2QBudIrkYU,Dirty Laundry,2015-10-23,carrie underwood dirty laundry
"Carrie Underwood, Ludacris",223998.0,False,0stPNUkU1LZnvxIcfrKnEZ,The Champion,2018-01-12,carrie underwood the champion
"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",417920.0,True,3V8UKqhEK5zBkBb6d6ub8i,Te Boté - Remix,2018-04-13,"casper magico, nio garcia, darell, nicky jam, ozuna te bote"
Charlie Puth,208786.0,False,5cF0dROlMOK5uNZtivgu50,Attention,2018-05-11,charlie puth attention
"Charlie Puth, Kehlani",180493.0,False,1lsBTdE6MGsKeZCD6llNu7,Done for Me (feat. Kehlani),2018-05-11,charlie puth done for me
Charlie Puth,200853.0,False,6wmAHw1szh5RCKSRjiXhPe,How Long,2018-05-11,charlie puth how long
"Cheat Codes, Demi Lovato",222786.0,False,5lNuqFVMca4vPupY10cH0J,No Promises (feat. Demi Lovato),2017-03-31,cheat codes no promises
Childish Gambino,326933.0,True,0wXuerDYiBnERgIpbb3JBR,Redbone,2016-12-02,childish gambino redbone
Childish Gambino,225773.0,True,0b9oOr2ZgvyQu88wzixux9,This Is America,2018-05-06,childish gambino this is america
"China Anne McClain, Thomas Doherty, Dylan Playfair",190720.0,False,53xAT6jud1w0NqlBjSW4VB,What's My Name,2017-07-21,"china anne mcclain, thomas doherty what's my name"
Chloe Kohanski,181794.0,False,1pFkLWesh2zpoFTs2g4SFt,Total Eclipse Of The Heart - The Voice Performance,2017-12-20,chloe kohanski total eclipse of the heart
Chloe Kohanski,220630.0,False,0SqmAwQrNyypiTroSwVjbX,Wish I Didn’t Love You - The Voice Performance,2017-12-20,chloe kohanski wish i didn't love you
Chris Blue,194663.0,False,35ap6ekPdkGkiUkWfWhZB4,Money On You - The Voice Performance,2017-05-24,chris blue money on you
"Chris Brown, Future, Young Thug",202213.0,True,2XdgSB4TtzUHQYCMfSHbFI,High End,2017-10-13,chris brown high end
"Chris Brown, Usher, Gucci Mane",220813.0,True,05Z7jet4VDNVgNQWcYHnrk,Party,2016-12-16,chris brown party
"Chris Brown, Yo Gotti, A Boogie Wit da Hoodie, Kodak Black",292910.0,True,4YkwUfWSIxdKNLDXw0caFO,Pills & Automobiles,2017-08-04,chris brown pills and automobiles
Chris Brown,220963.0,True,2Vf2Pflg5rTWSvSCK4qq4A,Privacy,2017-03-24,chris brown privacy
Chris Brown,129477.0,False,5XQMr19TL7Mfksq9zihbOu,Questions,2017-08-18,chris brown questions
Chris Brown,218744.0,True,0709StHzSeXpdj2zmqF2o2,Tempo,2017-10-31,chris brown tempo
Chris Janson,188933.0,False,0s6OWiWGuiCcm1Muzch5A8,Fix a Drink,2017-09-22,chris janson fix a drink
Chris Lane,211226.0,False,19yTqpHTUrw7mOcRDvXYzn,For Her,2016-07-12,chris lane for her
"Chris Lane, Tori Kelly",212080.0,False,0N9uZRrJQ3lO5TmInEjLxc,Take Back Home Girl (feat. Tori Kelly),2018-07-13,chris lane take back home girl
Chris Stapleton,180906.0,False,06gD2ZtK3Dzc1BYqWExQJJ,Broken Halos,2017-05-05,chris stapleton broken halos
Chris Stapleton,248053.0,False,6Wo5YxkdXgwzKQZbDg2r17,Either Way,2017-05-05,chris stapleton either way
Chris Young,178253.0,False,6waqLPcT6ruMhmd36OhmFO,Losing Sleep,2017-10-20,chris young losing sleep
"Chris Young, Vince Gill",194560.0,False,081t95JRuDUrQYSS3h8iKk,Sober Saturday Night (feat. Vince Gill),2015-11-13,chris young sober saturday night
"Clean Bandit, Julia Michaels",205986.0,False,0Ult84lvFuqNvbyXwyRQ58,I Miss You (feat. Julia Michaels),2018-11-30,clean bandit i miss you
"Clean Bandit, Sean Paul, Anne-Marie",251088.0,False,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),2016-10-21,clean bandit rockabye
"Clean Bandit, Demi Lovato",222653.0,False,6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato),2018-05-17,clean bandit solo
Cole Swindell,199693.0,False,5Z19ylxppfnfdP4JH0u8oj,Break up in the End,2018-08-17,cole swindell break up in the end
"Cole Swindell, Dierks Bentley",177066.0,False,0WyFpxYlBCgH1gMXd26OOr,Flatliner (feat. Dierks Bentley),2016-05-06,cole swindell flatliner
Karaoke Instrumental Masters Collection,226157.0,False,4JrTU7Hw1y9dkzcmGiQ69G,Broccoli (Originally Performed by D.R.A.M.) - Instrumental Karaoke Version,2017-10-06,d.r.a.m. broccoli
"DJ Khaled, Calvin Harris, Travis Scott, Jeremih",229146.0,True,6LOCAhFzZiavHcLJucLuDy,Don't Quit (feat. Travis Scott & Jeremih),2017-06-22,dj khaled don't quit
